Field,Value
Title,Water Quality Data
URL,water-quality-data
Description,"The California Department of Water Resources (DWR) discrete (vs. continuous) water quality datasets contains DWR-collected, current and historical, chemical and physical parameters found in routine environmental, regulatory compliance monitoring, and special studies throughout the state."
Tags,"california department of water resources,groundwater,surface water,water data library,water quality,wdl"
License,cc-by
Topics,"Natural Resources,Water"
Organization,California Department of Water Resources
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,Water Data Library
Program Contact Email,wdlweb@water.ca.gov
Author,
Homepage URL,
Frequency,Irregular
Temporal Coverage,
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,http://www.water.ca.gov/waterdatalibrary/
Additional Information,
Related Resources,
Secondary Sources,
Citation,
